,level_0,SQL_Functions,Converted_Functions,index
0,0,"convert_timezone('America/Los_Angeles',created_date)::timestamp_ntz","CAST(DATE(created_date,'America/Los_Angeles') AS TIMESTAMP)",
1,1,"convert_timezone('America/Los_Angeles',stf.created_date)::timestamp_ntz","CAST(DATE(stf.created_date,'America/Los_Angeles') AS TIMESTAMP)",
2,2,"convert_timezone('America/Los_Angeles',t3.createddate)::timestamp_ntz","CAST(DATE(t3.createddate,'America/Los_Angeles') AS TIMESTAMP)",
3,3,"convert_timezone('America/Los_Angeles',sqr.created_date)::timestamp_ntz","CAST(DATE(sqr.created_date,'America/Los_Angeles') AS TIMESTAMP)",
4,4,"convert_timezone('America/Los_Angeles',gfr.created_date)::timestamp_ntz","CAST(DATE(gfr.created_date,'America/Los_Angeles') AS TIMESTAMP)",
5,5,all_data.created_date::timestamp_ltz,CAST(all_data.created_date AS TIMESTAMP),
6,6,"date_part('hour',all_data.created_date)",EXTRACT(HOUR FROM all_data.created_date),
7,7,extract(dow from all_data.created_date),extract(dow from all_data.created_date),
8,8,extract(dow from all_Data.created_date),extract(dow from all_Data.created_date),
9,9,extract(hour from all_Data.created_date),extract(hour from all_Data.created_date),
10,10,max(all_data.created_date),max(all_data.created_date),
11,11,max(x1.oldvalue),max(x1.oldvalue),
12,12,max(x1.newvalue),max(x1.newvalue),
13,13,over(partition by caseid),over(partition by caseid),
14,14,"over(partition by all_data.user_id, date_trunc('hour',all_data.created_date))","over(partition by all_data.user_id, TIMESTAMP_TRUNC(all_data.created_date, HOUR))",
15,15,CAST(all_data.created_date AS TIMESTAMP),CAST(all_data.created_date AS TIMESTAMP),
16,16,"CAST(DATE(created_date,'America/Los_Angeles') AS TIMESTAMP)",CAST(CAST(created_date AS DATE) AS TIMESTAMP),
17,17,"CAST(DATE(stf.created_date,'America/Los_Angeles') AS TIMESTAMP)",CAST(CAST(stf.created_date AS DATE) AS TIMESTAMP),
18,18,"CAST(DATE(t3.createddate,'America/Los_Angeles') AS TIMESTAMP)",CAST(CAST(t3.createddate AS DATE) AS TIMESTAMP),
19,19,"CAST(DATE(sqr.created_date,'America/Los_Angeles') AS TIMESTAMP)",CAST(CAST(sqr.created_date AS DATE) AS TIMESTAMP),
20,20,"CAST(DATE(gfr.created_date,'America/Los_Angeles') AS TIMESTAMP)",CAST(CAST(gfr.created_date AS DATE) AS TIMESTAMP),
21,21,sum(email_messages),sum(email_messages),
22,22,"date_trunc('hour',all_data.created_date)","TIMESTAMP_TRUNC(all_data.created_date, HOUR)",
23,23,"DATE(created_date,'America/Los_Angeles')",CAST(created_date AS DATE),
24,24,"DATE(stf.created_date,'America/Los_Angeles')",CAST(stf.created_date AS DATE),
25,25,"DATE(t3.createddate,'America/Los_Angeles')",CAST(t3.createddate AS DATE),
26,26,"DATE(sqr.created_date,'America/Los_Angeles')",CAST(sqr.created_date AS DATE),
27,27,"DATE(gfr.created_date,'America/Los_Angeles')",CAST(gfr.created_date AS DATE),
28,28,count(id),count(id),
29,29,count(stf.id),count(stf.id),
30,30,"convert_timezone('America/Los_Angeles',created_date)","DATE(created_date,'America/Los_Angeles')",
31,31,"convert_timezone('America/Los_Angeles',current_timestamp)","DATE(CURRENT_TIMESTAMP(),'America/Los_Angeles')",
32,32,"convert_timezone('America/Los_Angeles',stf.created_date)","DATE(stf.created_date,'America/Los_Angeles')",
33,33,"convert_timezone('America/Los_Angeles',t3.createddate)","DATE(t3.createddate,'America/Los_Angeles')",
34,34,"convert_timezone('America/Los_Angeles',sqr.created_date)","DATE(sqr.created_date,'America/Los_Angeles')",
35,35,"convert_timezone('America/Los_Angeles',gfr.created_date)","DATE(gfr.created_date,'America/Los_Angeles')",
36,36,"dateadd('month',-6,convert_timezone('America/Los_Angeles',current_timestamp))","date_add(DATE(CURRENT_TIMESTAMP(),'America/Los_Angeles'),INTERVAL -6 MONTH)",
37,37,"dateadd('month',-3,convert_timezone('America/Los_Angeles',current_timestamp))","date_add(DATE(CURRENT_TIMESTAMP(),'America/Los_Angeles'),INTERVAL -3 MONTH)",
38,38,lower(type),lower(type),
39,39,lower(stf.type),lower(stf.type),
40,40,lower(x1.field),lower(x1.field),
41,41,lower(x1.newvalue),lower(x1.newvalue),
42,42,lower(t2.newvalue),lower(t2.newvalue),
43,43,lower(t3.oldvalue_code),lower(t3.oldvalue_code),
44,44,lower(su.user_id),lower(su.user_id),
45,45,lower(t2.oldvalue_code),lower(t2.oldvalue_code),
46,46,lower(t2.createdbyid),lower(t2.createdbyid),
47,47,min(x1.oldvalue),min(x1.oldvalue),
48,48,min(x1.newvalue),min(x1.newvalue),
49,49,"replace(sqr.quality_score__c,'<img src=""/servlet/servlet.FileDownload?file=015330000019uVy"" alt=""up"" border=""0""/> ')","REPLACE(sqr.quality_score__c,'<img src=""/servlet/servlet.FileDownload?file=015330000019uVy"" alt=""up"" border=""0""/> ',"""")",
50,50,"nvl(GFR.CSAT_LEVEL1,'CSAT')","ifnull(GFR.CSAT_LEVEL1,'CSAT')",
51,51,"TO_NUMBER(sqr.updated_quality_score,18,0)",CAST(sqr.updated_quality_score AS NUMERIC),
52,0,integer,INT64,0.0
53,1,double,FLOAT64,1.0
54,2,USE ,--USE ,2.0
55,3,GRANT ,--GRANT ,3.0
56,4,union all,UNION,4.0
57,5,UNION,UNION ALL,5.0
58,6,contains(,REGEXP_CONTAINS(,6.0
59,7,cs_supp., ,7.0
60,8,(dow,(DAYOFWEEK,8.0
